Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,DNP,C_0603_1608Metric,179.25,-127,90,top
C2,10u,C_1206_3216Metric,165,-130,-90,top
C3,10u,C_1206_3216Metric,156.5,-134.5,0,top
C4,DNP,C_0603_1608Metric,178.75,-115.25,-90,top
C5,0.47u,C_0603_1608Metric,170.25,-107.75,-90,top
C6,0.47u,C_0603_1608Metric,177.25,-111.25,-90,top
C7,10u,C_1206_3216Metric,156,-118.75,180,top
C9,100p,C_0603_1608Metric,182.75,-127,90,top
C10,DNP,C_0603_1608Metric,181,-127,90,top
C11,12-60p,C_Trimmer_GKG_6mm,189,-126.25,90,top
C12,0.47u,C_0603_1608Metric,180.5,-107.75,-90,top
C13,0.47u,C_0603_1608Metric,187.5,-111.25,-90,top
C14,330p,C_0603_1608Metric,183,-114.5,180,top
C15,47n,C_1206_3216Metric,172.5,-104,0,top
C16,DNP,C_0603_1608Metric,177.5,-104,-90,top
C17,DNP,C_0603_1608Metric,182,-101,180,top
C19,10p,C_0603_1608Metric,186.5,-103.5,90,top
C20,10u,C_1206_3216Metric,160.75,-120.75,0,top
C21,DNP,C_0603_1608Metric,154.5,-124.75,-90,top
C22,330p,C_0603_1608Metric,165.5,-123.5,0,top
C23,10u,C_1206_3216Metric,155.75,-130,90,top
C25,10u,C_1206_3216Metric,162.5,-130,-90,top
C27,10u,C_1206_3216Metric,161.25,-134.5,180,top
C28,10u,C_1206_3216Metric,165,-139.5,180,top
C29,10u,C_1206_3216Metric,156.25,-139.5,0,top
C30,10u,C_1206_3216Metric,165,-147.5,180,top
C31,10u,C_1206_3216Metric,156.25,-147.5,180,top
D1,1N4148,D_SOD-323F,191.5,-120,180,top
D2,1N4148,D_SOD-323F,188.25,-120,180,top
D3,BAT760-7,D_SOD-323,159,-128.45,180,top
D4,BAT760-7,D_SOD-323,159,-130.4,180,top
D5,BAT760-7,D_SOD-323,159,-132.35,0,top
D6,LTST-S220KGKT,LED-T1-RIGHT-ANGLE_4.6x4.4mm,162.5,-154.5,90,top
D11,P6SMB6.8CA/TR13,D_SMB,160.5,-112,0,top
E1,SparkGap,Spark_Gap,175.75,-134,90,top
E2,SparkGap,Spark_Gap,175.75,-140.75,90,top
F1,0.5A,Fuse_1206_3216Metric,160,-108,180,top
FB3,FerriteBead_Small,L_0805_2012Metric,165.75,-126.75,0,top
FB4,FerriteBead_Small,L_0805_2012Metric,158.75,-136.75,180,top
FB5,FerriteBead_Small,L_0805_2012Metric,160.75,-118.5,180,top
GD1,GDT_2Pin,GDT_1812,189.75,-93.75,0,top
J7,Conn_Coaxial,SMA_Molex_73251-2200_Horizontal,186.5,-86.42,0,top
J8,USB_B,USB_B_OST_USB-B1HSxx_Horizontal,161,-95.5775,90,top
L1,10u,L_VLCF4020,157.75,-124.75,0,top
L2,DLW5BTM142SQ2L,L_CommonModeChoke_Murata_DLW5BTM,160.25,-102.75,-90,top
R1,47,R_0603_1608Metric,175.75,-128.75,90,top
R2,22k,R_0603_1608Metric,185.75,-115.5,90,top
R3,8.2k,R_0603_1608Metric,187.5,-115.5,90,top
R4,22k,R_0603_1608Metric,189.25,-115.5,-90,top
R5,365,R_0603_1608Metric,183,-116.25,0,top
R6,DNP,R_0603_1608Metric,177,-115.25,90,top
R7,22k,R_0603_1608Metric,173.25,-101.75,180,top
R8,10k,R_0603_1608Metric,182,-99.5,0,top
R9,2k,R_0603_1608Metric,175.75,-104,-90,top
R10,470,R_0603_1608Metric,188.25,-103.5,-90,top
R11,470,R_0603_1608Metric,184.75,-103.5,90,top
R12,470,R_0603_1608Metric,183,-103.5,-90,top
R13,100,R_1206_3216Metric,185,-93.75,-90,top
R14,0,R_0603_1608Metric,180.5,-115.25,-90,top
R15,82k,R_0603_1608Metric,164.5,-120.75,90,top
R16,13k,R_0603_1608Metric,166,-120.75,-90,top
R17,DNP,R_0805_2012Metric,155.5,-121,180,top
R18,82k,R_0603_1608Metric,165.5,-125,180,top
R19,DNP,R_0805_2012Metric,155,-100.25,-90,top
R20,DNP,R_0603_1608Metric,181.25,-103.5,-90,top
R21,100,R_1206_3216Metric,182.5,-93.75,-90,top
R25,4.7k,R_0603_1608Metric,157.75,-152.75,90,top
RV1,200,Potentiometer_Bourns_3314G_Vertical,181.25,-120.75,0,top
TP4,TestPoint,THM_MINI,175.5,-90.5,0,top
TP6,TestPoint,THM_MINI,155.85,-155.75,0,top
TP14,TestPoint,THM_MINI,155.4,-107.9,0,top
U1,TLV2172,SOIC-8_3.9x4.9mm_P1.27mm,173.75,-109.5,90,top
U2,OPA2822,SOIC-8_3.9x4.9mm_P1.27mm,184,-109.5,90,top
U3,LMR62014XMF,SOT-23-5,162,-125,90,top
U4,MC78L06F-TP,SOT-89-3,164.75,-143.5,180,top
U5,MC79L06F-TP,SOT-89-3,156.5,-143.5,0,top
