Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,DNP,C_0603_1608Metric,115,-108.25,90,top
C2,10u,C_1206_3216Metric,87,-95.75,-90,top
C3,10u,C_1206_3216Metric,87,-110,90,top
C4,10u,C_1206_3216Metric,90,-95.75,-90,top
C5,0.47u,C_0603_1608Metric,106,-90.75,-90,top
C6,0.47u,C_0603_1608Metric,113,-94.25,-90,top
C7,10u,C_1206_3216Metric,87,-105.25,90,top
C8,10u,C_1206_3216Metric,94,-110,90,top
C9,100p,C_0603_1608Metric,118.5,-108.25,90,top
C10,DNP,C_0603_1608Metric,116.75,-108.25,90,top
C11,12-60p,C_Trimmer_GKG_6mm,126.25,-106.25,180,top
C12,0.47u,C_0603_1608Metric,116.75,-91,-90,top
C13,0.47u,C_0603_1608Metric,123.75,-94.5,-90,top
C14,330p,C_0603_1608Metric,118.25,-98.75,-90,top
C15,47n,C_1206_3216Metric,107.5,-86,90,top
C16,DNP,C_0603_1608Metric,113.25,-86.75,-90,top
C17,1n,C_1206_3216Metric,87,-100.5,-90,top
C18,10u,C_1206_3216Metric,94,-105.25,90,top
C19,10p,C_0603_1608Metric,122.5,-86.75,90,top
C28,10u,C_1206_3216Metric,87.75,-119,180,top
C29,10u,C_1206_3216Metric,94,-119,0,top
C30,10u,C_1206_3216Metric,87.75,-126.5,180,top
C31,10u,C_1206_3216Metric,94,-126.5,180,top
D1,1N4148,D_SOD-323F,128,-97.5,180,top
D2,1N4148,D_SOD-323F,128,-99.5,0,top
D6,WP934CB/GD,LED-T1-RIGHT-ANGLE_4.6x4.4mm,84.5,-137.9,90,top
D11,P6SMB6.8CA/TR13,D_SMB,87.5,-86.75,180,top
E1,SparkGap,Spark_Gap,120,-117,90,top
E2,SparkGap,Spark_Gap,120.25,-124.5,90,top
F1,0.5A,Fuse_1206_3216Metric,87.75,-83,0,top
FB1,FerriteBead_Small,L_0805_2012Metric,92.25,-114.25,-90,top
FB2,FerriteBead_Small,L_0805_2012Metric,96.25,-104.75,-90,top
GD1,GDT_2Pin,GDT_1812,125.75,-76.5,0,top
H2,MountingHole,JLC_TOOLING_HOLE,78.9,-143.7,0,top
H3,MountingHole,JLC_TOOLING_HOLE,78.9,-67.05,0,top
H4,MountingHole,JLC_TOOLING_HOLE,129.5,-132.15,0,top
H5,MountingHole,JLC_TOOLING_HOLE,130.5,-66.05,0,top
J7,Conn_Coaxial,SMA_Molex_73251-2200_Horizontal,123.75,-68.75,0,top
J8,USB_B,USB_B_OST_USB-B1HSxx_Horizontal,98.5,-76.5775,90,top
L1,DLW5BTM102SQ2L,L_CommonModeChoke_Murata_DLW5BTM,86,-71,180,top
L2,10u,L_1210_3225Metric,88.5,-91.5,180,top
L3,10u,L_1210_3225Metric,90.5,-110.5,0,top
L4,10u,L_1210_3225Metric,90.5,-104.75,0,top
PS1,A0509S-2WR3,Converter_DCDC_XP_POWER-IHxxxxS_THT,82.85,-95.29,0,top
R1,47,R_0603_1608Metric,112.25,-109,0,top
R2,22k,R_0603_1608Metric,121.75,-98.75,90,top
R3,22k,R_0603_1608Metric,123.5,-98.75,90,top
R4,22k,R_0603_1608Metric,105.5,-86.75,-90,top
R5,360,R_0603_1608Metric,120,-98.75,90,top
R6,47,R_0603_1608Metric,125.25,-98.75,90,top
R7,22k,R_0603_1608Metric,109.75,-86.75,90,top
R8,10k,R_0603_1608Metric,115,-86.75,90,top
R9,470,R_0603_1608Metric,111.5,-86.75,-90,top
R10,470,R_0603_1608Metric,123.75,-90.5,-90,top
R11,470,R_0603_1608Metric,120.75,-86.75,90,top
R12,470,R_0603_1608Metric,119,-86.75,-90,top
R13,47,R_1206_3216Metric,123.5,-81.5,-90,top
R14,0,R_0603_1608Metric,116.5,-98.75,-90,top
R25,4.7k,R_0603_1608Metric,84,-130.75,0,top
RV1,200,Potentiometer_Bourns_3314G_Vertical,116,-103,-90,top
TP4,DNP,THM_MINI,114,-68.5,0,top
TP6,DNP,THM_MINI,129.25,-119,0,top
U1,TLV2172,SOIC-8_3.9x4.9mm_P1.27mm,109.5,-92.5,90,top
U2,OPA2822,SOIC-8_3.9x4.9mm_P1.27mm,120.25,-92.75,90,top
U4,MC78L06F-TP,SOT-89-3,87.5,-122.75,180,top
U5,MC79L06F-TP,SOT-89-3,94.25,-122.75,0,top
